,animal,correct,group,valid,trial,trial_type,training_type,detailed_trial_type
468,46.0,1.0,control,True,148.0,training,late training,late training
469,46.0,1.0,control,True,149.0,training,late training,late training
470,46.0,0.0,control,False,150.0,training,late training,late training
471,46.0,0.0,control,False,151.0,training,late training,late training
472,46.0,0.0,control,False,152.0,training,late training,late training
473,46.0,0.0,control,False,153.0,training,late training,late training
474,46.0,0.0,control,False,154.0,training,late training,late training
475,46.0,0.0,control,True,155.0,late test,test,late test
476,46.0,0.0,control,True,156.0,late test,test,late test
477,46.0,0.0,control,True,157.0,late test,test,late test
478,46.0,0.0,control,True,158.0,late test,test,late test
479,46.0,1.0,control,True,159.0,late test,test,late test
480,47.0,1.0,control,True,0.0,training,early training,early training
481,47.0,0.0,control,True,1.0,training,early training,early training
482,47.0,1.0,control,True,2.0,training,early training,early training
483,47.0,1.0,control,True,3.0,training,early training,early training
484,47.0,0.0,control,True,4.0,training,early training,early training
485,47.0,1.0,control,True,5.0,training,early training,early training
486,47.0,0.0,control,True,6.0,training,early training,early training
487,47.0,0.0,control,True,7.0,training,early training,early training
488,47.0,0.0,control,True,8.0,training,early training,early training
489,47.0,0.0,control,True,9.0,training,early training,early training
490,47.0,1.0,control,True,10.0,training,early training,early training
491,47.0,0.0,control,True,11.0,training,early training,early training
492,47.0,1.0,control,True,12.0,training,early training,early training
493,47.0,1.0,control,True,13.0,training,early training,early training
494,47.0,1.0,control,True,14.0,training,early training,early training
495,47.0,0.0,control,True,15.0,training,early training,early training
496,47.0,0.0,control,True,16.0,training,early training,early training
497,47.0,1.0,control,True,17.0,training,early training,early training
498,47.0,0.0,control,True,18.0,training,early training,early training
499,47.0,1.0,control,True,19.0,training,early training,early training
500,47.0,0.0,control,True,20.0,training,early training,early training
501,47.0,0.0,control,True,21.0,training,early training,early training
502,47.0,0.0,control,True,22.0,training,early training,early training
503,47.0,0.0,control,True,23.0,training,early training,early training
504,47.0,0.0,control,True,24.0,training,early training,early training
505,47.0,0.0,control,True,25.0,training,early training,early training
506,47.0,0.0,control,True,26.0,training,early training,early training
507,47.0,1.0,control,True,27.0,training,early training,early training
508,47.0,0.0,control,True,28.0,training,early training,early training
509,47.0,0.0,control,True,29.0,training,early training,early training
510,47.0,0.0,control,True,30.0,training,early training,early training
511,47.0,0.0,control,True,31.0,training,early training,early training
512,47.0,1.0,control,True,32.0,training,early training,early training
513,47.0,1.0,control,True,33.0,training,early training,early training
514,47.0,0.0,control,True,34.0,training,early training,early training
515,47.0,0.0,control,True,35.0,training,early training,early training
516,47.0,0.0,control,True,36.0,training,early training,early training
517,47.0,1.0,control,True,37.0,training,early training,early training
518,47.0,1.0,control,True,38.0,training,early training,early training
519,47.0,0.0,control,True,39.0,training,early training,early training
520,47.0,1.0,control,True,40.0,training,early training,early training
521,47.0,0.0,control,True,41.0,training,early training,early training
522,47.0,0.0,control,True,42.0,training,early training,early training
523,47.0,1.0,control,True,43.0,training,early training,early training
524,47.0,0.0,control,True,44.0,training,early training,early training
525,47.0,0.0,control,True,45.0,training,early training,early training
526,47.0,1.0,control,True,46.0,training,early training,early training
